titre bouffe	sodium (mg)	glucides (g)	matière grasse (g)	calories	petit dej	repas	image	pts sodium	pts glucides	pts matière grasse	pts calories
Pain doré	552	35.2	15.5	335	1	0	https://img.cuisineaz.com/610x610/2018-05-31/i140246-pain-perdu-maison.jpeg	-2	-5	9	-4
Minestrone	775	46.2	2.5	274	0	1	https://cocinarrecetasdepostres.net/wp-content/uploads/2020/03/Receta-de-Minestrone-de-olla-de-cocci%C3%B3n-lenta-Sabor.jpg	2	-3	-5	-4
Côte de porc au four	693	19.5	14.1	290	0	1	https://img.cuisineaz.com/660x660/2017/02/06/i120444-cote-de-porc-au-miel-au-four.jpeg	1	-5	8	-4
Légumes sautés	233	7.9	1.3	45	0	1	https://img.cuisineaz.com/660x660/2019-11-27/i151109-legumes-sautes-au-wok.jpeg	-5	-6	-6	-7
Muffin au son	229	31.1	3.5	155	1	0	https://i.pinimg.com/originals/dd/4d/33/dd4d3341d1219ec7deb8046e6c12999a.jpg	-5	-4	-4	-6
Patates frites maison	604	55.4	4.8	284	0	1	https://2.bp.blogspot.com/-rMQpzjoJkIo/VDLqkuBic6I/AAAAAAAAAeQ/vQFN9Llv-4A/s1600/Frite%2Bmaison_01.jpg	-1	-2	-2	-4
Salade de haricots mélangés	11.6	50.7	9.6	337	0	1	https://cdn.shopify.com/s/files/1/0514/2102/0338/products/SaladedeHaricots.png?v=1606872855	-7	-2	3	-4
Scones	390	18.4	4.8	129	1	0	https://images.kitchenstories.io/communityImages/e6831c721af219686bb557f0ad46dd3e_08fa1743-8a64-4d49-b015-7695bf157124.jpg	-3	-5	-2	-6
Salade de Saumon	444	3.1	11.8	175	0	1	https://cdn.pratico-pratiques.com/app/uploads/sites/2/2018/08/27224327/salade-de-saumon-grille-fenouil-et-pamplemousse-rose.jpeg	-3	-7	6	-6
Pain de viande	498	19.2	11.1	300	0	1	https://img.cuisineaz.com/660x660/2015-05-11/i93421-pain-de-viande-au-lard.jpg	-2	-6	5	-4
Salade de chou	21	4.7	6.9	80	0	1	https://www.bouvrette.ca/wp-content/uploads/2021/03/salade-chou.jpg	-7	-7	1	-6
Burritos aux haricots	682	59.3	11.4	417	0	1	https://www.cuisine-et-mets.com/wp-content/uploads/2017/07/Fotolia_77921500_Subscription_Monthly_M.jpg	1	-1	8	-3
Mini pizza	879	33.9	8.6	253	0	1	https://www.comprefaleiro.com.br/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/m/i/minipizza_presunto_atm_1.jpg	3	-4	2	-5
Pain aux bananes	165	32.1	10.7	237	1	0	https://cdn.pratico-pratiques.com/app/uploads/sites/3/2019/12/17102453/pain-aux-bananes-et-erable-a-congeler.jpg	-6	-4	4	-4
Soupe aux poix cassés	476	15.9	1	101	0	1	https://www.weightwatchers.com/images/3084/dynamic/foodandrecipes/2012/14/FC_splitepeasoup_600x600.jpg	-2	-6	-6	-6
Salade au poulet	632	3.6	4.9	137	0	1	https://cdn.pratico-pratiques.com/app/uploads/sites/2/2018/08/29092021/salade-tiede-de-poulet-tandoori.jpeg	-1	-4	-2	-6
Thon en cocotte	820	27.5	11.4	312	0	1	https://file1.topsante.com/var/topsante/storage/images/media/images/galeries/cocotte-de-thon-cloute-de-girofle/292079-1-fre-FR/Cocotte-de-thon-cloute-de-girofle.jpg?alias=square500x500&size=x100&format=jpeg	2	-4	5	-4
Oeuf poché	147	0.4	4.9	74	1	0	https://www.bistrot.fr/wp-content/uploads/2014/04/oeuf-poche.jpg	-6	-7	-2	-6
Croustade aux pommes	176	67.9	13.7	394	1	0	https://chefcuisto.com/files/2007/10/croustade-aux-pommes.jpg	-5	1	8	-3
Oeuf dur	62	0.6	5.3	78	1	0	https://static.750g.com/images/600-600/489e5c34f0a30ee5f66909b3a679923b/photo-oeuf-dur.jpg	-7	-7	-2	-6
Soupe aux lentilles	1126	46.4	10	384	0	1	https://img.cuisineaz.com/610x610/2015-11-19/i73537-soupe-lentilles.jpg	5	-3	4	-3
Cuisses de poulet au four	475	0.3	13.8	125	0	1	https://img.cuisineaz.com/610x610/2016-09-01/i93894-poulet-epices.jpg	-2	-7	8	-6
Salade de thon	414	3.6	6.1	150	0	1	https://cdn.pratico-pratiques.com/app/uploads/sites/2/2018/08/29095920/salade-nicoise-au-thon.jpeg	-3	-7	-1	-6
Lasagnes aux légumes	971	54.4	14	423	0	1	https://img.cuisineaz.com/660x660/2018-10-28/i143628-lasagne-au-saumon-et-aux-legumes.jpeg	4	-2	8	-3
Soupe de poulet et de légumes	335	26.5	1.2	143	0	1	http://s3-ca-central-1.amazonaws.com/staging-praticopratiques/app/uploads/sites/3/2018/08/20184701/soupe-au-poulet-et-legumes-du-jardin-1.jpeg	-4	-4	-6	-6
Haricots au four	730	62.1	4.8	363	0	1	https://img.cuisineaz.com/400x400/2018/11/09/i144054-haricots-verts-au-cookeo.jpeg	1	-1	-2	-4
Boeuf Stroganoff	558	55	13.5	440	0	1	https://circulairehttps-smisolutionsmark.netdna-ssl.com/wp-content/uploads/boeuf-stroganoff-a-la-mijoteuse.jpg	-2	-7	7	-3
Oeufs brouillés	590	1	8.8	110	1	0	https://img.cuisineaz.com/400x400/2015/07/27/i93487-oeufs-brouilles-parfaits.jpg	-1	-7	3	-6
Soupe aux légumes en morceaux	827	54.5	4.9	333	0	1	https://cdn.pratico-pratiques.com/app/uploads/sites/3/2018/08/20182515/soupe-aux-legumes-dautomne.jpeg	2	-7	-2	-4
Boeuf et macaronis en cocotte	715	43.4	6.1	309	0	1	https://www.readyseteat.ca/sites/g/files/qyyrlu541/files/uploadedImages/Hunts_Tomato-Florentine-Pasta-Casserole.jpg	1	-7	-1	-4
